+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|  2 | vars        | Point-Biserial | -0.278112 | 0.0822772   |     2 |          2.77778 |
|  3 | vars        | Pearson        | -0.507868 | 0.000821779 |     2 |          2.77778 |
|  4 | vars        | Point-Biserial | -0.224489 | 0.0846373   |     3 |          2.77778 |
|  5 | vars        | Pearson        | -0.497302 | 5.29413e-05 |     3 |          2.77778 |
|  6 | vars        | Point-Biserial | -0.194014 | 0.0846296   |     4 |          2.77778 |
|  7 | vars        | Pearson        | -0.495449 | 2.97533e-06 |     4 |          2.77778 |
|  8 | vars        | Point-Biserial | -0.173276 | 0.0847004   |     5 |          2.77778 |
|  9 | vars        | Pearson        | -0.496111 | 1.5306e-07  |     5 |          2.77778 |
| 10 | vars        | Point-Biserial | -0.158437 | 0.0839245   |     6 |          2.77778 |
| 11 | vars        | Pearson        | -0.494397 | 9.52129e-09 |     6 |          2.77778 |
| 12 | vars        | Point-Biserial | -0.148327 | 0.080295    |     7 |          2.77778 |
| 13 | vars        | Pearson        | -0.483781 | 1.40278e-09 |     7 |          2.77778 |
|  0 | statsmodels | Point-Biserial | -0.391925 | 0.0874442   |     1 |          3       |
|  1 | statsmodels | Pearson        | -0.544593 | 0.0130361   |     1 |          3       |
|  2 | statsmodels | Point-Biserial | -0.272766 | 0.088591    |     2 |          3       |
|  3 | statsmodels | Pearson        | -0.507679 | 0.000826099 |     2 |          3       |
|  4 | statsmodels | Point-Biserial | -0.218408 | 0.0936408   |     3 |          3       |
|  5 | statsmodels | Pearson        | -0.497148 | 5.32697e-05 |     3 |          3       |
|  6 | statsmodels | Point-Biserial | -0.188139 | 0.0946744   |     4 |          3       |
|  7 | statsmodels | Pearson        | -0.495094 | 3.03181e-06 |     4 |          3       |
|  8 | statsmodels | Point-Biserial | -0.167678 | 0.0954092   |     5 |          3       |
|  9 | statsmodels | Pearson        | -0.495717 | 1.5711e-07  |     5 |          3       |
| 10 | statsmodels | Point-Biserial | -0.15316  | 0.0949002   |     6 |          3       |
| 11 | statsmodels | Pearson        | -0.493729 | 1.00376e-08 |     6 |          3       |
| 12 | statsmodels | Point-Biserial | -0.143337 | 0.0911202   |     7 |          3       |
| 13 | statsmodels | Pearson        | -0.4829   | 1.51728e-09 |     7 |          3       |
|  0 | vars        | Point-Biserial | -0.391925 | 0.0874442   |     1 |          3       |
|  1 | vars        | Pearson        | -0.544593 | 0.0130361   |     1 |          3       |
|  2 | vars        | Point-Biserial | -0.272766 | 0.088591    |     2 |          3       |
|  3 | vars        | Pearson        | -0.507679 | 0.000826099 |     2 |          3       |
|  4 | vars        | Point-Biserial | -0.218408 | 0.0936408   |     3 |          3       |
|  5 | vars        | Pearson        | -0.497148 | 5.32697e-05 |     3 |          3       |
|  6 | vars        | Point-Biserial | -0.188139 | 0.0946744   |     4 |          3       |
|  7 | vars        | Pearson        | -0.495094 | 3.03181e-06 |     4 |          3       |
|  8 | vars        | Point-Biserial | -0.167678 | 0.0954092   |     5 |          3       |
|  9 | vars        | Pearson        | -0.495717 | 1.5711e-07  |     5 |          3       |
| 10 | vars        | Point-Biserial | -0.15316  | 0.0949002   |     6 |          3       |
| 11 | vars        | Pearson        | -0.493729 | 1.00376e-08 |     6 |          3       |
| 12 | vars        | Point-Biserial | -0.143337 | 0.0911202   |     7 |          3       |
| 13 | vars        | Pearson        | -0.4829   | 1.51728e-09 |     7 |          3       |
+----+-------------+----------------+-----------+-------------+-------+------------------+
